0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
[욕설],아영이는이뻐-탑하고,싸우더니,ad리신에서,던지다가,템팔고,에이피로,갈아탐,,,,,,,,,,,,,,,,
[욕설],패드립하는,병신고아,바텀듀오박제,,,,,,,,,,,,,,,,,,,,
[욕설],덜거덕-패드립,,,,,,,,,,,,,,,,,,,,,,
[욕설],입털면템바로팜-고의트롤,적에게,죽어주고,다른라인가서,경치,스틸,,,,,,,,,,,,,,,,,
[욕설],람머르기니부릉,<=,패드립,고의트롤,,,,,,,,,,,,,,,,,,,
[욕설],상대편이었는데,시참끝나고,욕하길래,사진,,,,,,,,,,,,,,,,,,,
[욕설],군대전에다이아,<<마스터,100점인데,실버에서,20분,12뎃,박고,떳떳함,[2],,,,,,,,,,,,,,
[욕설],미드벡스,픽박고,지가,못해놓고선,정글탓하는,러지,[최고다주연짱],[5],,,,,,,,,,,,,,,
[욕설],악질,유저,3분,[4],,,,,,,,,,,,,,,,,,,
[욕설],못,참,는,다,2,/,UNGUNGYEE,실버듀오,욕설,및,패드립,사진,,,,,,,,,,,
[욕설],몰락한왕의검,[1],,,,,,,,,,,,,,,,,,,,,
[욕설],은톨이,<<--,"욕설,",악질유저,[2],,,,,,,,,,,,,,,,,,
[욕설],통매음,[18],사진,,,,,,,,,,,,,,,,,,,,
[욕설],칼바람에도,일베,개많네,,,,,,,,,,,,,,,,,,,,
[욕설],DK,innovation,<<,욕설,및,패드립,,,,,,,,,,,,,,,,,
[욕설],브론즈,틀딱새기들은,죽어야됨,ㄹㅇ,,,,,,,,,,,,,,,,,,,
[욕설],별,솜사탕,무조건,닺지,필수,,,,,,,,,,,,,,,,,,
[욕설],중궁인...,조심하세요,ㅋㅋ,[3],사진,,,,,,,,,,,,,,,,,,
[욕설],사사게가뭔데,ㅋㅋㅋㅋㅋㅋㅋㅋ,[1],,,,,,,,,,,,,,,,,,,,
[욕설],친추를,왜,하세유~,[4],사진,,,,,,,,,,,,,,,,,,
[욕설],엄청난,채팅제한,사유,다들,조심하세요,★필독!!!,[3],사진,,,,,,,,,,,,,,,
[욕설],코lo나환자,-,패드립,및,지한테,갱,안왔다고,합류,절대한하고,사이드에서,잘리기만함,,,,,,,,,,,,
[욕설],물만두장인,<,패드립,/,고소당하기,싫으면,친추,받으세요,[1],,,,,,,,,,,,,,
[욕설],내,지시,좀,들어,<<,패드립,[8],사진,,,,,,,,,,,,,,,
[욕설],하우지꼬부기,<,자칭,다이아,생배,임시,티어,브론즈,비디오,,,,,,,,,,,,,,
[욕설],"아이디:(땅떠기,국방부조사본부)실거주",및,정보,주시면,사례,,,,,,,,,,,,,,,,,,
[욕설],sorroda,정글그브,하던사람,,,,,,,,,,,,,,,,,,,,
[욕설],칼바람나락소라카,<<,베인,상대로,2인분했는데,서폿,럭스한테,억까,당했다,사진,,,,,,,,,,,,,
[욕설],바람에게님,보세요^^,,,,,,,,,,,,,,,,,,,,,
[욕설],패드립,욕설,신고,사진,,,,,,,,,,,,,,,,,,,
[욕설],다1,아이디:,데이터쌓기,패드립,,,,,,,,,,,,,,,,,,,
[욕설],욕하는건,참겠는데,자살해라,이런,말을,하지말자,사진,,,,,,,,,,,,,,,,
[욕설],"조헤리니,RINRINI",실버2,꼴값하등듀오,,,,,,,,,,,,,,,,,,,,
[욕설],밤빵맛,700판,실버1,꼴값주댕이,,,,,,,,,,,,,,,,,,,
[욕설],66x,/,옐로우스완,웃기는,애들,,,,,,,,,,,,,,,,,,
[욕설],신분을숨긴소녀,고의트롤,,,,,,,,,,,,,,,,,,,,,
[욕설],가끔,들와서,겜하다,칼바람,하는데,이상한,애들,많아짐,,,,,,,,,,,,,,,
[욕설],oklol,<<<,고의트롤,유저,사진,,,,,,,,,,,,,,,,,,
[욕설],ㅋㅋㅋ,이쉑,개트롤이던데,,,,,,,,,,,,,,,,,,,,
[욕설],계정,채금은,먹기,싫고,당당하지,못한,좆밥,둘,,,,,,,,,,,,,,,
[욕설],새벽에,등장한,칼바람,슈퍼일진,(닉네임:,별빛노래),,,,,,,,,,,,,,,,,
[욕설],WhenDovesCry,<<<<<,고의트롤,사진,,,,,,,,,,,,,,,,,,,
[욕설],억까,정치,듀오,ㅋㅋㅋ,사진,,,,,,,,,,,,,,,,,,
[욕설],생각대로기사문의,<<<<<,대리충,사진,,,,,,,,,,,,,,,,,,,
[욕설],전문,패작러,3명,이분들,보시면,닷지,하셔야합니다,[1],비디오,,,,,,,,,,,,,,
[욕설],이야,이런,야무진애없습니다...신고좀,,,,,,,,,,,,,,,,,,,,
[욕설],간만에,던진애,봤다.,[1],,,,,,,,,,,,,,,,,,,
[욕설],우주초l강피오라,징징,남탓,패드리퍼,박제,,,,,,,,,,,,,,,,,,
[욕설],"패드립,장애인비하,욕설,고아",박제.,,,,,,,,,,,,,,,,,,,,,
[욕설],이게정지먹을만한,채팅같음?,ㅈ같이억울하네,[2],사진,,,,,,,,,,,,,,,,,,
[욕설],[부바왓슨],욕설,및,패드립,[1],사진,,,,,,,,,,,,,,,,,
[욕설],AD킬러말파,패드립,트롤,욕설,조심해라,,,,,,,,,,,,,,,,,,
[욕설],미오맘,<<<,대리충,사진,,,,,,,,,,,,,,,,,,,
[욕설],패드립하는친구,사진,,,,,,,,,,,,,,,,,,,,,
[욕설],두툼한고기카레,사진,,,,,,,,,,,,,,,,,,,,,
[욕설],냥뀨,<,라인전,개박살나고,끝나고,입여는괴물^^,,,,,,,,,,,,,,,,,
[욕설],내가문제냐,<<,전판지고,화났는지,그냥,고의트롤,사진,,,,,,,,,,,,,,,,
[욕설],gk2yo,패드립,욕설,게임방해,대리,,,,,,,,,,,,,,,,,,
[욕설],토끼는빠르지/예,문,,,,,,,,,,,,,,,,,,,,,
[욕설],탑성애자,,,,,,,,,,,,,,,,,,,,,,
[욕설],jesus,shot,,,,,,,,,,,,,,,,,,,,,
