0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[욕설],초딩도암걸리나요,패드립,박제,사진,,,,,,,,,,,
[욕설],Miyeon,fan,패드립,박제,사진,,,,,,,,,,
[욕설],물방울의,수호자,<<,욕설,시비충,박제,[1],사진,,,,,,,
[욕설],천세인<<,부캐인척,욕설,하는,버러지,사진,,,,,,,,,
[욕설],DoEul,",",Hello,Welcome,<<,욕설시비충,박제,사진,,,,,,,
[욕설],KHvvJW,",",사자정수리냄새,<<1500판,골드,트롤러,사진,,,,,,,,
[욕설],"킬만드는사람,",아이엠,동현팍,시비충,급식듀오,사진,,,,,,,,,
[욕설],하루,고개숙여봐,",",145,시비충,트롤,욕설,사진,,,,,,,
[욕설],이거고소될까?,사진,,,,,,,,,,,,,
[욕설],저,게임,잘안해여,<<,귓말로,욕설까지,하는,쓰레기,사진,,,,,,
[욕설],저,게임,잘안해여,",",wqoexashjd,<<,욕설,시비충,사진,,,,,,
[욕설],킹갓빛띵금,",",냅두라고,<<,욕설,시비충,사진,,,,,,,,
[욕설],"패드립,트롤",박제,DAY,N,NITE,사진,,,,,,,,,
[욕설],lIlIllIllIlllII,<바코드,짜증난다.,사진,,,,,,,,,,,
[욕설],롤의,심각성[위안부],사진,,,,,,,,,,,,
[욕설],blzhffh,",",너가부르는곳으로,<<,트롤,욕설유저,사진,,,,,,,,
[욕설],평화로운세상울,사진,,,,,,,,,,,,,
[욕설],피의블라지미르,[게임후,욕설],사진,,,,,,,,,,,
[욕설],오늘,랭에서,만난,트롤,,,,,,,,,,,
[욕설],패드립,유저,및,그,외,4인큐,사진,,,,,,,,
[욕설],초등학생들은,왜이러나요?,겜하기,힘듭니다,사진,,,,,,,,,,
[욕설],제발,롤운영자님,이것좀,봐주세요,캡틴,"젝,김댕댕이",사진,,,,,,,,
[욕설],당해라,<--,남탓러,,,,,,,,,,,,
[욕설],ㅈㄴ,잘한다던,고수님,전적,박제,사진,,,,,,,,,
[욕설],천애화<<<<,듀오신청후,"욕설,뒷삭",,,,,,,,,,,,
[욕설],파티,매칭,게시판에,장애인이,왜이렇게,많냐,,,,,,,,,
[욕설],세금마한입만<패드립,사진,,,,,,,,,,,,,
[욕설],추은혜,,,,,,,,,,,,,,
[욕설],정말,답안나오네,,,,,,,,,,,,,
[욕설],오늘,랭에서,만난,트롤,[1],,,,,,,,,,
[욕설],제발,니들끼리싸워서,피해주지마,,,,,,,,,,,,
[욕설],>>>,First,Selection,<<,제보시,100만원,,,,,,,,,
[욕설],"정지5개째,",불꽃남자다으아아,패드립,박제,사진,,,,,,,,,,
[욕설],연승or연패,패드립,박제,사진,,,,,,,,,,,
[욕설],S대,건축과,패드립,박제,사진,,,,,,,,,,
[욕설],lIIIIIlllI,패드립,박제,사진,,,,,,,,,,,
[욕설],퇴마사라칸2,패드립,박제,사진,,,,,,,,,,,
[욕설],니,님,<<,패드립,부모욕,코로나언급,사진,,,,,,,,
[욕설],마이충의,정석,<<,욕설로,채금먹고도,정신,못차림,,,,,,,,
